api_number,tophole_longitude__deg,tophole_latitude__deg,bottomhole_longitude__deg,bottomhole_latitude__deg,well_number,lease_name,permitted_well_type,permit_type,pad,operator_name,play_name,state_name,county_name,basin_name,reservoir_name,field_name,permit_date,drilling_start_date,drilling_end_date,completion_date,tvd__ft,measured_depth__ft,lateral_length__ft,drilltime__day,fracture_stages,fracture_fluid__ugl,proppant__lbs,gravity__api
35073251750000,-97.86887,35.84278,-97.858291,35.890667,1h-17x,Church,Oil & Gas,Horizontal,No,Ovintiv,SCOOP-STACK-Cana,Oklahoma,Kingfisher,Anadarko Basin-Anadarko,Meramec,Undetermined,9/28/2015,9/29/2015,11/13/2015,12/17/2015,7601,17998,9877.15,46,,8779979,1.50E+07,40
35073251770000,-97.80578,35.91336,-97.81002,35.933659,5-26mh,James 1706,Oil,Horizontal,Yes,Alta Mesa Holdings,SCOOP-STACK-Cana,Oklahoma,Kingfisher,Anadarko Basin-Anadarko,Mississippian,Undetermined,11/6/2015,11/7/2015,11/21/2015,12/15/2015,7383,12310,4680.65,15,,1.12E+07,3444896.705,39
35073251760000,-97.772784,35.91311,-97.771278,35.891273,5-31mh,Shackelford 1705,Oil,Horizontal,No,Alta Mesa Holdings,SCOOP-STACK-Cana,Oklahoma,Kingfisher,Anadarko Basin-Anadarko,Mississippian,Undetermined,10/19/2015,10/20/2015,11/5/2015,11/25/2015,7245,12210,4716.75,17,,1.11E+07,3480931.815,39
35073251740000,-97.800079,35.741511,-97.809269,35.759916,1-26mh,Bubbles 1506,Oil & Gas,Horizontal,No,Marathon Oil,SCOOP-STACK-Cana,Oklahoma,Kingfisher,Anadarko Basin-Anadarko,Meramec,Undetermined,10/22/2015,10/23/2015,11/2/2015,11/24/2015,7452,12975,5246.85,11,,1.06E+07,2.52E+07,39
35011237720000,-98.27923055,35.72618888,-98.279119,35.754072,1hx,Cheetah 32,Oil & Gas,Horizontal,Yes,Devon Energy,SCOOP-STACK-Cana,Oklahoma,Blaine,Anadarko Basin-Anadarko,Mississippian,Undetermined,3/5/2018,3/6/2018,4/2/2018,8/28/2018,10967,21507,10013,28,,,,
35073255740000,-97.94212341,35.94538116,-97.94212341,35.94538116,1h,Bradford 5-18-5,Oil & Gas,Horizontal,Yes,Undetermined,SCOOP-STACK-Cana,Oklahoma,Kingfisher,Anadarko Basin-Anadarko,Oswego,Undetermined,4/16/2017,4/17/2017,6/5/2017,7/31/2017,6165,11337,4913.4,50,,2067912,3858972.934,
35043235070000,-99.00789161,35.98765994,-99.00789161,35.98765994,1hcg,Blue Star 18 PB,Oil & Gas,Horizontal,Yes,Mewbourne Oil,SCOOP-STACK-Cana,Oklahoma,Dewey,Anadarko Basin-Anadarko,Cottage Grove,Undetermined,4/27/2017,4/28/2017,5/17/2017,7/6/2017,8039,12724,4450.75,20,,2872002,2715470.531,38.810001
35073255780000,-98.15207038,35.81283001,-98.150746,35.826553,2h-34 lm,Velta June,Oil & Gas,Horizontal,Yes,Ovintiv,SCOOP-STACK-Cana,Oklahoma,Kingfisher,Anadarko Basin-Anadarko,Mississippian,Undetermined,4/4/2017,4/5/2017,1/5/2018,12/27/2017,9629,15036,5136.65,,,1.16E+07,2.39E+07,44
35073255830000,-97.81277,35.98629,-97.814463,35.971398,1-2mh,The Trick 1706,Oil & Gas,Horizontal,Yes,Alta Mesa Holdings,SCOOP-STACK-Cana,Oklahoma,Kingfisher,Anadarko Basin-Anadarko,Mississippian,Undetermined,4/25/2017,4/26/2017,5/10/2017,7/25/2017,7353,12405,4799.4,15,,,,39
35011237750000,-98.43631,35.784006,-98.43631,35.784006,1hx,Willow 12,Oil & Gas,Horizontal,Yes,Devon Energy,SCOOP-STACK-Cana,Oklahoma,Blaine,Anadarko Basin-Anadarko,Mississippian,Undetermined,1/23/2018,1/24/2018,3/11/2018,5/1/2018,11309.4,21811,9976.52,47,,,,47.299999
35039224990000,-98.6769,35.63046,-98.676309,35.648809,1h-3-34,Rlp,Oil & Gas,Horizontal,Yes,Citizen Energy III,SCOOP-STACK-Cana,Oklahoma,Custer,Anadarko Basin-Anadarko,Mississippian-Woodford,Undetermined,6/4/2017,6/5/2017,9/11/2017,3/6/2018,15480,21914,6112.3,99,,1.33E+07,1.21E+07,
35073255850000,-98.14146991,35.81286547,-98.143145,35.826584,8h-34 lm,Velta June,Oil & Gas,Horizontal,Yes,Ovintiv,SCOOP-STACK-Cana,Oklahoma,Kingfisher,Anadarko Basin-Anadarko,Mississippian,Undetermined,4/13/2017,4/14/2017,7/25/2017,12/29/2017,9476,14896,5149,103,,,,42
35073255870000,-98.13974983,35.81277777,-98.139801,35.82653,10h-34 lm,Velta June,Oil & Gas,Horizontal,Yes,Ovintiv,SCOOP-STACK-Cana,Oklahoma,Kingfisher,Anadarko Basin-Anadarko,Mississippian,Undetermined,5/2/2017,5/3/2017,8/6/2017,1/4/2018,9557,14965,5137.6,96,,2.13E+07,1.06E+07,42
35049251190000,-97.30928802,34.7045288,-97.30928802,34.7045288,1-11-2wxh,Ralph 0304,Oil & Gas,Horizontal,Yes,Marathon Oil,SCOOP-STACK-Cana,Oklahoma,Garvin,Anadarko Basin-Anadarko,Woodford,Undetermined,6/30/2017,7/1/2017,8/22/2017,10/16/2017,11971,23218,10684.65,53,,1.17E+07,1.63E+07,43.299999
35051241190000,-97.69749,35.31306,-97.69749,35.31306,1xh,Griffin 26-23-10-5,Oil & Gas,Horizontal,Yes,Undetermined,SCOOP-STACK-Cana,Oklahoma,Grady,Anadarko Basin-Anadarko,Mississippian,Undetermined,10/9/2017,10/10/2017,10/29/2017,12/20/2017,8787,15772,6635.75,20,,1.50E+07,1.16E+07,42
35051241220000,-97.74125,35.29118,-97.74284,35.30633,1h,Skaggs Farm 8-9-5,Oil & Gas,Horizontal,Yes,Citizen Energy III,SCOOP-STACK-Cana,Oklahoma,Grady,Anadarko Basin-Anadarko,Mississippian-Woodford,Undetermined,7/7/2017,7/8/2017,7/29/2017,12/24/2017,9785,15378,5313.35,22,,1.10E+07,1.00E+07,
35073256010000,-97.77379,36.13104,-97.77379,36.13104,1-7mh,Stags Leap 1905,Oil & Gas,Horizontal,Yes,Alta Mesa Holdings,SCOOP-STACK-Cana,Oklahoma,Kingfisher,Anadarko Basin-Anadarko,Mississippian,Undetermined,5/2/2017,5/3/2017,5/18/2017,8/22/2017,6862,11597,4498.25,16,,1.36E+07,6362766.833,
35073256030000,-97.88885,35.94269,-97.88885,35.94269,1h,OK State 18-17-6,Oil & Gas,Horizontal,Yes,Undetermined,SCOOP-STACK-Cana,Oklahoma,Kingfisher,Anadarko Basin-Anadarko,Oswego,Undetermined,4/24/2017,4/25/2017,5/18/2017,6/18/2017,6638,11920,5017.9,24,,,,
35087220720000,-97.57712138,34.87137444,-97.57712138,34.87137444,1-25h,Rose B Harrison,Oil & Gas,Horizontal,Yes,Red Rocks Oil & Gas Operating,SCOOP-STACK-Cana,Oklahoma,McClain,Anadarko Basin-Anadarko,Woodford,Undetermined,6/2/2017,6/3/2017,6/22/2017,8/11/2017,9134,15129,5695.25,20,,1.19E+07,8614655.553,
35051241280000,-97.81494538,34.83579086,-97.815416,34.854952,5-10x3h,North Cheyenne,Oil & Gas,Horizontal,Yes,Gulfport Energy,SCOOP-STACK-Cana,Oklahoma,Grady,Anadarko Basin-Anadarko,Woodford,Undetermined,5/22/2017,5/23/2017,8/12/2017,1/8/2018,15243,21517,5960.3,82,,1.59E+07,1.82E+07,
35017249970000,-97.86711,35.697239,-97.871184,35.725842,1406 1h-6x,Jackson,Oil & Gas,Horizontal,Yes,Ovintiv,SCOOP-STACK-Cana,Oklahoma,Canadian,Anadarko Basin-Anadarko,Mississippian,Undetermined,4/26/2017,4/27/2017,6/29/2017,9/1/2017,8224,18812,10058.6,64,,2.00E+07,2.18E+07,40
35047250930000,-97.936708,36.174557,-97.938915,36.18798,27-1h,Milacek 2007,Oil & Gas,Horizontal,Yes,Gastar Exploration,SCOOP-STACK-Cana,Oklahoma,Garfield,Salina-Sedgwick Basin-Sedgwick,Mississippi Lime,Undetermined,5/4/2017,5/5/2017,6/13/2017,10/24/2017,7558,12715,4899.15,40,,9466275,5372977.621,39.5
35017250000000,-97.86505946,35.4214919,-97.864596,35.406672,1-20h,Carpenter,Oil & Gas,Horizontal,Yes,Cimarex Energy,SCOOP-STACK-Cana,Oklahoma,Canadian,Anadarko Basin-Anadarko,Mississippian,Undetermined,9/18/2017,9/19/2017,10/6/2017,6/14/2018,9711,14558,4604.65,18,,1.10E+07,1.21E+07,55.200001
35073256130000,-97.868884,35.783227,-97.868884,35.783227,3-17mha,Eve 1506,Oil & Gas,Horizontal,Yes,Marathon Oil,SCOOP-STACK-Cana,Oklahoma,Kingfisher,Anadarko Basin-Anadarko,Mississippian,Undetermined,5/30/2017,5/31/2017,6/28/2017,9/16/2017,7943,12984,4788.95,29,,1.12E+07,1.39E+07,
35017250010000,-97.881214,35.697447,-97.877233,35.725763,1406 2h-6x,Jackson,Oil & Gas,Horizontal,Yes,Ovintiv,SCOOP-STACK-Cana,Oklahoma,Canadian,Anadarko Basin-Anadarko,Mississippian,Undetermined,4/27/2017,4/28/2017,6/4/2017,8/31/2017,8277,19300,10471.85,38,,2.04E+07,2.19E+07,40
35073256190000,-97.94212341,35.94538116,-97.94212341,35.94538116,1lmh-4,Hollywood 1606,Oil & Gas,Horizontal,Yes,Chaparral Energy,SCOOP-STACK-Cana,Oklahoma,Kingfisher,Anadarko Basin-Anadarko,Mississippian,Undetermined,4/24/2017,4/25/2017,5/25/2017,7/24/2017,7606,11945,4122.05,31,,1.15E+07,6029974.008,41
35073256200000,-98.09960996,36.07285098,-98.100525,36.058297,1-6mh,Hajek,Oil & Gas,Horizontal,Yes,Crawley Petroleum,SCOOP-STACK-Cana,Oklahoma,Kingfisher,Anadarko Basin-Anadarko,Mississippi Lime,Undetermined,5/23/2017,5/24/2017,6/17/2017,9/19/2017,8062,12960,4653.1,25,,9617338,9826061.397,37.5
35073256220000,-97.865432,35.969928,-97.870167,35.985448,1h,Mueggenborg 5-17-6,Oil & Gas,Horizontal,Yes,Undetermined,SCOOP-STACK-Cana,Oklahoma,Kingfisher,Anadarko Basin-Anadarko,Oswego,Undetermined,5/7/2017,5/8/2017,8/24/2017,10/3/2017,6571,12617,5743.7,109,,,,40.119999
35011237920000,-98.43559,35.85495,-98.43559,35.85495,1-24h,R. Moore,Oil & Gas,Horizontal,Yes,Continental Resources,SCOOP-STACK-Cana,Oklahoma,Blaine,Anadarko Basin-Anadarko,Mississippian,Undetermined,5/5/2017,5/6/2017,7/12/2017,8/3/2017,10857,16064,4946.65,68,,1.17E+07,1.34E+07,
35039225010000,-98.6769,35.6305,-98.676597,35.609994,2h-3-10,Rlp,Oil & Gas,Horizontal,Yes,Citizen Energy II,SCOOP-STACK-Cana,Oklahoma,Custer,Anadarko Basin-Anadarko,Mississippian,Undetermined,9/11/2017,9/12/2017,11/16/2017,2/21/2018,15744,23119,7006.25,66,,1.71E+07,1.86E+07,
35051241370000,-97.80913194,34.83497388,-97.811885,34.854776,7-10x3h,North Cheyenne,Oil & Gas,Horizontal,Yes,Gulfport Energy,SCOOP-STACK-Cana,Oklahoma,Grady,Anadarko Basin-Anadarko,Woodford,Undetermined,5/5/2017,5/6/2017,7/10/2017,1/15/2018,15028,22382,6986.3,66,,1.48E+07,1.77E+07,
35049251220000,-97.59630833,34.71103611,-97.59438,34.739082,7h-14x,"FERGUSON, C.O.",Oil & Gas,Horizontal,Yes,Ovintiv,SCOOP-STACK-Cana,Oklahoma,Garvin,Anadarko Basin-Anadarko,Woodford,Undetermined,6/15/2017,6/16/2017,8/18/2017,12/27/2017,12863,23195,9815.4,64,,1.76E+07,1.31E+07,52
35049251230000,-97.59644166,34.71103611,-97.596393,34.739099,8h-14x,"FERGUSON, C.O.",Oil & Gas,Horizontal,Yes,Ovintiv,SCOOP-STACK-Cana,Oklahoma,Garvin,Anadarko Basin-Anadarko,Hunton,Undetermined,6/12/2017,6/13/2017,7/15/2017,12/28/2017,12942,23310,9849.6,33,,1.63E+07,1.35E+07,51
35073256300000,-98.067954,35.782526,-98.068391,35.763891,1508 1h-17,Evelyn,Oil & Gas,Horizontal,Yes,Ovintiv,SCOOP-STACK-Cana,Oklahoma,Kingfisher,Anadarko Basin-Anadarko,Mississippian,Undetermined,5/21/2017,5/22/2017,6/5/2017,7/25/2017,9166,14400,4972.3,15,,1.06E+07,1.04E+07,40
35137274940000,-97.653302,34.648204,-97.653302,34.648204,2h-18x,Jo Ann,Oil & Gas,Horizontal,Yes,Ovintiv,SCOOP-STACK-Cana,Oklahoma,Stephens,Anadarko Basin-Anadarko,Hunton,Undetermined,5/18/2017,5/19/2017,5/21/2017,5/21/2017,,1514,,3,,,,
35049251240000,-97.58299944,34.71582833,-97.583989,34.739059,2h-14x,"FERGUSON, C.O.",Oil & Gas,Horizontal,Yes,Ovintiv,SCOOP-STACK-Cana,Oklahoma,Garvin,Anadarko Basin-Anadarko,Hunton,Undetermined,6/3/2017,6/4/2017,7/9/2017,12/17/2017,12647,20517,7476.5,36,,1.00E+07,1.23E+07,49
35017250080000,-97.76176,35.68129,-97.761422,35.695802,1-17mh,Taylor,Oil & Gas,Horizontal,Yes,Red Bluff Resources Operating,SCOOP-STACK-Cana,Oklahoma,Canadian,Anadarko Basin-Anadarko,Mississippian,Undetermined,5/27/2017,5/28/2017,7/10/2017,8/1/2017,7565,12466,4655.95,44,,1.26E+07,9434194.966,41.900002
35073256350000,-98.116833,35.899269,-98.119011,35.88547,1609 1h-2,Mendell,Oil & Gas,Horizontal,Yes,Ovintiv,SCOOP-STACK-Cana,Oklahoma,Kingfisher,Anadarko Basin-Anadarko,Mississippian,Undetermined,5/8/2017,5/9/2017,5/29/2017,6/29/2017,9216,14116,4655,21,,1.44E+07,7249176.261,43.700001
35017250120000,-98.07964972,35.39280611,-98.08046,35.414115,1h-3019x,Jimmie Com,Oil & Gas,Horizontal,Yes,Cimarex Energy,SCOOP-STACK-Cana,Oklahoma,Canadian,Anadarko Basin-Anadarko,Woodford,Undetermined,5/28/2017,5/29/2017,7/5/2017,11/22/2017,12333,19370,6685.15,38,,2.11E+07,1.95E+07,56.200001
35049251290000,-97.30928802,34.7045288,-97.30928802,34.7045288,1-29-20uwh,Clydesdale,Oil & Gas,Horizontal,Yes,Rimrock Resource Operating,SCOOP-STACK-Cana,Oklahoma,Garvin,Anadarko Basin-Anadarko,Woodford,Undetermined,5/28/2017,5/29/2017,8/10/2017,1/30/2018,13848,22945,8642.15,74,,1.69E+07,6927868.924,57
35011237980000,-98.42038222,35.68304694,-98.4204445,35.69658391,1-18h,Turtle Woman Bia,Oil & Gas,Horizontal,Yes,Marathon Oil,SCOOP-STACK-Cana,Oklahoma,Blaine,Anadarko Basin-Anadarko,Mississippian,Undetermined,6/19/2017,6/20/2017,8/8/2017,10/3/2017,12508,17695,4927.65,50,,8625511,1.05E+07,46
35051241450000,-97.70534138,35.26100722,-97.704603,35.247724,1h,Collins 14-9-5,Oil & Gas,Horizontal,Yes,Roan Resources,SCOOP-STACK-Cana,Oklahoma,Grady,Anadarko Basin-Anadarko,Mississippian,Undetermined,6/6/2017,6/7/2017,6/26/2017,12/19/2017,9712,14903,4931.45,20,,1.14E+07,1.01E+07,
35043235140000,-98.84863,36.13039,-98.845913,36.114421,1-18h,Regina 1915,Oil & Gas,Horizontal,Yes,SandRidge Energy,SCOOP-STACK-Cana,Oklahoma,Dewey,Anadarko Basin-Anadarko,Mississippian,Undetermined,7/15/2017,7/16/2017,8/25/2017,9/13/2017,9955,15016,4807.95,41,,4421592,5671317.543,35
35051241470000,-97.88410186,35.01696014,-97.88410186,35.01696014,1h,Nola May Shay 19-9-6,Oil & Gas,Horizontal,Yes,Revolution Operating,SCOOP-STACK-Cana,Oklahoma,Grady,Anadarko Basin-Anadarko,Mississippian,Undetermined,5/23/2017,5/24/2017,6/11/2017,7/31/2017,11331,16406,4821.25,19,,1.17E+07,1.26E+07,
35051241500000,-97.503925,34.572149,-97.503925,34.572149,4h,Scott 33-6-6,Oil & Gas,Horizontal,Yes,Red Wolf Operating,SCOOP-STACK-Cana,Oklahoma,Grady,Anadarko Basin-Anadarko,Woodford,Undetermined,5/27/2017,5/28/2017,9/29/2017,1/12/2018,16200,20450,4037.5,,,1.22E+07,9369607.957,59.099998
35051241520000,-97.719317,35.043,-97.715742,35.07164,1h-22x,Bridwell,Oil & Gas,Horizontal,Yes,Ovintiv,SCOOP-STACK-Cana,Oklahoma,Grady,Anadarko Basin-Anadarko,Mississippian,Undetermined,6/22/2017,6/23/2017,7/22/2017,9/13/2017,11162,21815,10120.35,30,,,,40
35011238080000,-98.279467,35.827221,-98.279467,35.827221,1hx,Hydra 29,Oil & Gas,Horizontal,Yes,Devon Energy,SCOOP-STACK-Cana,Oklahoma,Blaine,Anadarko Basin-Anadarko,Mississippi Lime,Undetermined,9/13/2017,9/14/2017,10/22/2017,1/9/2018,10072,20587,9989.25,39,,,,48
35043235170000,-98.97109,35.91349,-98.97109,35.91349,1-25h,Tucker,Oil & Gas,Horizontal,Yes,Staghorn Petroleum,SCOOP-STACK-Cana,Oklahoma,Dewey,Anadarko Basin-Anadarko,Meramec-Mississippi Lime,Undetermined,6/9/2017,6/10/2017,9/20/2017,12/29/2017,13249,18170,4674.95,103,,1.38E+07,7367904.416,
35073256520000,-98.184918,35.999191,-98.189956,35.984707,1809 1h-32r,Nancy,Oil & Gas,Horizontal,Yes,Ovintiv,SCOOP-STACK-Cana,Oklahoma,Kingfisher,Anadarko Basin-Anadarko,Mississippian,Undetermined,5/27/2017,5/28/2017,6/10/2017,9/9/2017,8546,13475,4682.55,14,,1.09E+07,7637964.988,40
35011238090000,-98.24146111,35.89931944,-98.24146111,35.89931944,2-35h,Red Land,Oil & Gas,Horizontal,Yes,Pride Energy,SCOOP-STACK-Cana,Oklahoma,Blaine,Anadarko Basin-Anadarko,Meramec,Undetermined,6/13/2017,6/14/2017,8/31/2017,1/30/2018,9329,14413,4829.8,79,,1.04E+07,9725298.458,48
35073256560000,-97.73382,35.95536,-97.738361,35.969805,7-9mh,Hoskins 1705,Oil & Gas,Horizontal,Yes,Alta Mesa Holdings,SCOOP-STACK-Cana,Oklahoma,Kingfisher,Anadarko Basin-Anadarko,Mississippian,Undetermined,6/9/2017,6/10/2017,6/21/2017,12/2/2017,7121,12250,4872.55,12,,1.14E+07,7095451.223,39
